id,A,B,ref_A,ref_B
350,00012_ESRGAN_mi.png,00012_ArNet_mi.png,00012,00012
351,00012_ESRGAN_mi.png,00012_HiFiC_hi.png,00012,00012
352,00012_ESRGAN_hi.png,00012_ESRGAN_mi.png,00012,00012
353,00012_ESRGAN_mi.png,00012_ArNet_hi.png,00012,00012
354,00012_ArNet_mi.png,00012_HiFiC_hi.png,00012,00012
355,00012_ArNet_mi.png,00012_ESRGAN_hi.png,00012,00012
356,00012_ArNet_mi.png,00012_ArNet_hi.png,00012,00012
357,00012_ESRGAN_hi.png,00012_HiFiC_hi.png,00012,00012
358,00012_ArNet_hi.png,00012_HiFiC_hi.png,00012,00012
359,00012_ESRGAN_hi.png,00012_ArNet_hi.png,00012,00012
360,00004_HiFiC_lo.png,00002_HiFiC_lo.png,00004,00002
361,00002_ESRGAN_lo.png,00004_ESRGAN_lo.png,00002,00004
362,00004_ArNet_lo.png,00002_ArNet_lo.png,00004,00002
363,00002_HiFiC_mi.png,00004_HiFiC_mi.png,00002,00004
364,00004_ESRGAN_mi.png,00002_ESRGAN_mi.png,00004,00002
365,00002_ArNet_mi.png,00004_ArNet_mi.png,00002,00004
366,00002_HiFiC_hi.png,00004_HiFiC_hi.png,00002,00004
367,00004_ESRGAN_hi.png,00002_ESRGAN_hi.png,00004,00002
368,00004_ArNet_hi.png,00002_ArNet_hi.png,00004,00002
369,00005_HiFiC_lo.png,00004_HiFiC_lo.png,00005,00004
370,00005_ESRGAN_lo.png,00004_ESRGAN_lo.png,00005,00004
371,00005_ArNet_lo.png,00004_ArNet_lo.png,00005,00004
372,00004_HiFiC_mi.png,00005_HiFiC_mi.png,00004,00005
373,00004_ESRGAN_mi.png,00005_ESRGAN_mi.png,00004,00005
374,00005_ArNet_mi.png,00004_ArNet_mi.png,00005,00004
375,00005_HiFiC_hi.png,00004_HiFiC_hi.png,00005,00004
376,00004_ESRGAN_hi.png,00005_ESRGAN_hi.png,00004,00005
377,00005_ArNet_hi.png,00004_ArNet_hi.png,00005,00004
378,00006_HiFiC_lo.png,00005_HiFiC_lo.png,00006,00005
379,00006_ESRGAN_lo.png,00005_ESRGAN_lo.png,00006,00005
380,00005_ArNet_lo.png,00006_ArNet_lo.png,00005,00006
381,00006_HiFiC_mi.png,00005_HiFiC_mi.png,00006,00005
382,00006_ESRGAN_mi.png,00005_ESRGAN_mi.png,00006,00005
383,00006_ArNet_mi.png,00005_ArNet_mi.png,00006,00005
384,00005_HiFiC_hi.png,00006_HiFiC_hi.png,00005,00006
385,00005_ESRGAN_hi.png,00006_ESRGAN_hi.png,00005,00006
386,00006_ArNet_hi.png,00005_ArNet_hi.png,00006,00005
387,00006_HiFiC_lo.png,00008_HiFiC_lo.png,00006,00008
388,00006_ESRGAN_lo.png,00008_ESRGAN_lo.png,00006,00008
389,00006_ArNet_lo.png,00008_ArNet_lo.png,00006,00008
390,00006_HiFiC_mi.png,00008_HiFiC_mi.png,00006,00008
391,00008_ESRGAN_mi.png,00006_ESRGAN_mi.png,00008,00006
392,00006_ArNet_mi.png,00008_ArNet_mi.png,00006,00008
393,00006_HiFiC_hi.png,00008_HiFiC_hi.png,00006,00008
394,00008_ESRGAN_hi.png,00006_ESRGAN_hi.png,00008,00006
395,00008_ArNet_hi.png,00006_ArNet_hi.png,00008,00006
396,00009_HiFiC_lo.png,00008_HiFiC_lo.png,00009,00008
397,00008_ESRGAN_lo.png,00009_ESRGAN_lo.png,00008,00009
398,00008_ArNet_lo.png,00009_ArNet_lo.png,00008,00009
399,00009_HiFiC_mi.png,00008_HiFiC_mi.png,00009,00008
400,00008_ESRGAN_mi.png,00009_ESRGAN_mi.png,00008,00009
401,00008_ArNet_mi.png,00009_ArNet_mi.png,00008,00009
402,00009_HiFiC_hi.png,00008_HiFiC_hi.png,00009,00008
403,00009_ESRGAN_hi.png,00008_ESRGAN_hi.png,00009,00008
404,00009_ArNet_hi.png,00008_ArNet_hi.png,00009,00008
405,00009_HiFiC_lo.png,00010_HiFiC_lo.png,00009,00010
406,00010_ESRGAN_lo.png,00009_ESRGAN_lo.png,00010,00009
407,00010_ArNet_lo.png,00009_ArNet_lo.png,00010,00009
408,00010_HiFiC_mi.png,00009_HiFiC_mi.png,00010,00009
409,00009_ESRGAN_mi.png,00010_ESRGAN_mi.png,00009,00010
410,00009_ArNet_mi.png,00010_ArNet_mi.png,00009,00010
411,00009_HiFiC_hi.png,00010_HiFiC_hi.png,00009,00010
